Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Anger,uma,Near Mint,English,,,27:09.2,122,FALSE,FALSE,
1,1,Arcane Signet,mic,Near Mint,English,,,27:09.2,157,FALSE,FALSE,
1,1,Arcane Signet,clb,Near Mint,English,,,27:09.2,298,FALSE,FALSE,
1,1,Arcane Signet,c21,Near Mint,English,,,27:09.2,234,FALSE,FALSE,
1,1,Archfiend of Sorrows,mh2,Near Mint,English,,,27:09.2,74,FALSE,FALSE,
1,1,Archghoul of Thraben,vow,Near Mint,English,,,27:09.2,93,FALSE,FALSE,
1,1,Artifact Mutation,ncc,Near Mint,English,,,27:09.2,326,FALSE,FALSE,
1,1,Atalan Jackal,40k,Near Mint,English,,,27:09.2,105,FALSE,FALSE,
1,1,Austere Command,cmr,Near Mint,English,,,27:09.2,12,FALSE,FALSE,
1,1,Bedevil,afc,Near Mint,English,,,27:09.2,179,FALSE,FALSE,
1,1,Bedevil,rna,Near Mint,English,,,27:09.2,157,FALSE,FALSE,
1,1,Benevolent Offering,voc,Near Mint,English,,,27:09.2,78,FALSE,FALSE,
1,1,Blasphemous Act,cmr,Near Mint,English,,,27:09.2,162,FALSE,FALSE,
1,1,Blasphemous Act,c21,Near Mint,English,,,27:09.2,159,FALSE,FALSE,
1,1,Body Launderer,snc,Near Mint,English,,,27:09.2,417,FALSE,FALSE,
1,1,Burn Down the House,mid,Near Mint,English,,,27:09.2,131,FALSE,FALSE,
1,1,Bushwhack,bro,Near Mint,English,,,27:09.2,174,FALSE,FALSE,
1,1,Cemetery Reaper,scd,Near Mint,English,,,27:09.2,70,FALSE,FALSE,
1,1,"Chainer, Dementia Master",dmr,Near Mint,English,,,27:09.2,299,FALSE,FALSE,
1,1,"Chainer, Nightmare Adept",mh2,Near Mint,English,,,27:09.2,289,FALSE,FALSE,
1,1,Cloak and Dagger,mor,Near Mint,English,,,27:09.2,141,FALSE,FALSE,
1,1,Conduit of Ruin,bfz,Near Mint,English,,,27:09.2,4,FALSE,FALSE,
1,1,Coronation of Chaos,clb,Near Mint,English,,,27:09.2,168,FALSE,FALSE,
1,1,Coveted Prize,znr,Near Mint,English,,,27:09.2,95,FALSE,FALSE,
1,1,Cunning Rhetoric,c21,Near Mint,English,,,27:09.2,38,FALSE,FALSE,
1,1,Cut // Ribbons,akh,Near Mint,English,,,27:09.2,223,FALSE,FALSE,
1,1,Dark Ritual,a25,Near Mint,English,,,27:09.2,82,FALSE,FALSE,
1,1,Deathsprout,war,Near Mint,English,,,27:09.2,189,FALSE,FALSE,
1,1,Deflecting Palm,soa,Near Mint,English,,,27:09.2,63,FALSE,FALSE,
