Card,Deck,Custom Tags,Card Count
Shriekmaw,"Eloise, Nephalia Sleuth (Joe G)",Removal,1
Sifter of Skulls,"Eloise, Nephalia Sleuth (Joe G)",Token,1
Sol Ring,"Eloise, Nephalia Sleuth (Joe G)",Ramp,1
Solemn Simulacrum,"Eloise, Nephalia Sleuth (Joe G)",Ramp,1
Spawning Pit,"Eloise, Nephalia Sleuth (Joe G)",Combo,1
Sunken Hollow,"Eloise, Nephalia Sleuth (Joe G)",,1
Swamp,"Eloise, Nephalia Sleuth (Joe G)",,11
"Syr Konrad, the Grim","Eloise, Nephalia Sleuth (Joe G)",Finishers,1
Tainted Isle,"Eloise, Nephalia Sleuth (Joe G)",,1
Talisman of Dominance,"Eloise, Nephalia Sleuth (Joe G)",Ramp,1
Tamiyo's Journal,"Eloise, Nephalia Sleuth (Joe G)",Value Engine,1
Temple of Deceit,"Eloise, Nephalia Sleuth (Joe G)",,1
"Tezzeret, Master of the Bridge","Eloise, Nephalia Sleuth (Joe G)",Value Engine,1
Thopter Spy Network,"Eloise, Nephalia Sleuth (Joe G)",Token,1
Thought Monitor,"Eloise, Nephalia Sleuth (Joe G)",Draw,1
Trading Post,"Eloise, Nephalia Sleuth (Joe G)",Value Engine,1
Victimize,"Eloise, Nephalia Sleuth (Joe G)",Reanimation,1
Village Rites,"Eloise, Nephalia Sleuth (Joe G)",Draw,1
Viscera Seer,"Eloise, Nephalia Sleuth (Joe G)",Combo,1
Watery Grave,"Eloise, Nephalia Sleuth (Joe G)",,1
Witch's Oven,"Eloise, Nephalia Sleuth (Joe G)",Combo,1
Woe Strider,"Eloise, Nephalia Sleuth (Joe G)",Combo,1
Zulaport Cutthroat,"Eloise, Nephalia Sleuth (Joe G)",Finishers,1
Admiral Beckett Brass,The Admiral (Anthony),Tribal,1
Angrath's Marauders,The Admiral (Anthony),Aggro,1
Aqueous Form,The Admiral (Anthony),Evasion,1
Arcane Signet,The Admiral (Anthony),Ramp,1
Blasphemous Act,The Admiral (Anthony),Interaction,1
"Breeches, Brazen Plunderer",The Admiral (Anthony),Tribal,1
Captain Lannery Storm,The Admiral (Anthony),Treasure,1
Captain Vargus Wrath,The Admiral (Anthony),Tribal,1
Captivating Crew,The Admiral (Anthony),Theft,1
Changeling Outcast,The Admiral (Anthony),Evasion,1
Chart a Course,The Admiral (Anthony),Draw,1
Coercive Recruiter,The Admiral (Anthony),Theft,1
Command Tower,The Admiral (Anthony),,1
Commander's Sphere,The Admiral (Anthony),Ramp,1
Corsair Captain,The Admiral (Anthony),Tribal,1
Counterspell,The Admiral (Anthony),Interaction,1
Crumbling Necropolis,The Admiral (Anthony),,1
Daring Saboteur,The Admiral (Anthony),Evasion,1
Deadeye Brawler,The Admiral (Anthony),Evasion,1
Deadeye Plunderers,The Admiral (Anthony),Treasure,1
Departed Deckhand,The Admiral (Anthony),Evasion,1
Dimir Aqueduct,The Admiral (Anthony),,1
Dire Fleet Captain,The Admiral (Anthony),Tribal,1
Dire Fleet Daredevil,The Admiral (Anthony),Reanimation,1
Dire Fleet Neckbreaker,The Admiral (Anthony),Tribal,1
Dire Fleet Poisoner,The Admiral (Anthony),Evasion,1
Dire Fleet Ravager,The Admiral (Anthony),Evasion,1
Dowsing Dagger // Lost Vale,The Admiral (Anthony),Ramp,1
Drown in the Loch,The Admiral (Anthony),Interaction,1
Engulf the Shore,The Admiral (Anthony),Interaction,1
Evolving Wilds,The Admiral (Anthony),,1
Fathom Fleet Captain,The Admiral (Anthony),Tribal,1
Feed the Swarm,The Admiral (Anthony),Interaction,1
Fiery Cannonade,The Admiral (Anthony),Interaction,1
Forerunner of the Coalition,The Admiral (Anthony),Tribal,1
Goldvein Pick,The Admiral (Anthony),Treasure,1
Haunting Voyage,The Admiral (Anthony),Reanimation,1
Highland Lake,The Admiral (Anthony),,1
Hostage Taker,The Admiral (Anthony),Theft,1
Infernal Grasp,The Admiral (Anthony),Interaction,1
Island,The Admiral (Anthony),,7
Izzet Signet,The Admiral (Anthony),Ramp,1
"Kari Zev, Skyship Raider",The Admiral (Anthony),Aggro,1
Kitesail Freebooter,The Admiral (Anthony),Evasion,1
Lookout's Dispersal,The Admiral (Anthony),Interaction,1
"Malcolm, Keen-Eyed Navigator",The Admiral (Anthony),Treasure,1
March of the Drowned,The Admiral (Anthony),Reanimation,1
"Marchesa, the Black Rose",The Admiral (Anthony),Theft,1
Merchant Raiders,The Admiral (Anthony),Tribal,1
Mountain,The Admiral (Anthony),,7
Path of Ancestry,The Admiral (Anthony),Tribal,1
Pirate's Pillage,The Admiral (Anthony),Treasure,1
Port Razer,The Admiral (Anthony),Aggro,1
Predators' Hour,The Admiral (Anthony),Theft,1
Prismari Campus,The Admiral (Anthony),,1
Protean Raider,The Admiral (Anthony),Aggro,1
Prying Blade,The Admiral (Anthony),Treasure,1
Rakdos Carnarium,The Admiral (Anthony),,1
Reconnaissance Mission,The Admiral (Anthony),Draw,1
Reflections of Littjara,The Admiral (Anthony),Tribal,1
Revel in Riches,The Admiral (Anthony),Treasure,1
Secluded Courtyard,The Admiral (Anthony),,1
Seize the Spoils,The Admiral (Anthony),Treasure,1
Shadowblood Ridge,The Admiral (Anthony),,1
Shared Animosity,The Admiral (Anthony),Tribal,1
Siren Stormtamer,The Admiral (Anthony),Evasion,1
Slippery Scoundrel,The Admiral (Anthony),Evasion,1
Smoldering Marsh,The Admiral (Anthony),,1
Sol Ring,The Admiral (Anthony),Ramp,1
Spectral Sailor,The Admiral (Anthony),Evasion,1
Spell Swindle,The Admiral (Anthony),Interaction,1
Storm Fleet Sprinter,The Admiral (Anthony),Evasion,1
Storm the Vault // Vault of Catlacan,The Admiral (Anthony),Treasure,1
Sunken Hollow,The Admiral (Anthony),,1
Swamp,The Admiral (Anthony),,6
Sword of the Animist,The Admiral (Anthony),Ramp,1
Timestream Navigator,The Admiral (Anthony),Tribal,1
Treasure Cruise,The Admiral (Anthony),Draw,1
Treasure Map // Treasure Cove,The Admiral (Anthony),Treasure,1
Vandalblast,The Admiral (Anthony),Interaction,1
Warkite Marauder,The Admiral (Anthony),Evasion,1
Whispersilk Cloak,The Admiral (Anthony),Evasion,1
"Zara, Renegade Recruiter",The Admiral (Anthony),Theft,1
Aquitect's Will,"Orvar, the All-Form (Anthony)",,1
Arcane Signet,"Orvar, the All-Form (Anthony)",,1
Archaeomancer,"Orvar, the All-Form (Anthony)",,1
Archmage Emeritus,"Orvar, the All-Form (Anthony)",,1
Argent Mutation,"Orvar, the All-Form (Anthony)",,1
Artisan of Forms,"Orvar, the All-Form (Anthony)",,1
Augur of Bolas,"Orvar, the All-Form (Anthony)",,1
Blue Sun's Zenith,"Orvar, the All-Form (Anthony)",,1
Brainstorm,"Orvar, the All-Form (Anthony)",,1
Cerulean Wisps,"Orvar, the All-Form (Anthony)",,1
Chilling Trap,"Orvar, the All-Form (Anthony)",,1
Cloudkin Seer,"Orvar, the All-Form (Anthony)",,1
Counterspell,"Orvar, the All-Form (Anthony)",,1
Dive Down,"Orvar, the All-Form (Anthony)",,1
Draining Whelk,"Orvar, the All-Form (Anthony)",,1
Dream's Grip,"Orvar, the All-Form (Anthony)",,1
Enervate,"Orvar, the All-Form (Anthony)",,1
Essence Flux,"Orvar, the All-Form (Anthony)",,1
Expedition Map,"Orvar, the All-Form (Anthony)",,1
Fleeting Distraction,"Orvar, the All-Form (Anthony)",,1
Folio of Fancies,"Orvar, the All-Form (Anthony)",,1
Ghostly Flicker,"Orvar, the All-Form (Anthony)",,1
Gigadrowse,"Orvar, the All-Form (Anthony)",,1
Hidden Strings,"Orvar, the All-Form (Anthony)",,1
High Tide,"Orvar, the All-Form (Anthony)",,1
Imprisoned in the Moon,"Orvar, the All-Form (Anthony)",,1
Island,"Orvar, the All-Form (Anthony)",,30
Jace's Sanctum,"Orvar, the All-Form (Anthony)",,1
Jinx,"Orvar, the All-Form (Anthony)",,1
Jolt,"Orvar, the All-Form (Anthony)",,1
Kiora Bests the Sea God,"Orvar, the All-Form (Anthony)",,1
Leap,"Orvar, the All-Form (Anthony)",,1
Master of Waves,"Orvar, the All-Form (Anthony)",,1
Meteor Golem,"Orvar, the All-Form (Anthony)",,1
Mind Stone,"Orvar, the All-Form (Anthony)",,1
Miscast,"Orvar, the All-Form (Anthony)",,1
Mizzium Skin,"Orvar, the All-Form (Anthony)",,1
Moonlace,"Orvar, the All-Form (Anthony)",,1
Mulldrifter,"Orvar, the All-Form (Anthony)",,1
Murmuring Mystic,"Orvar, the All-Form (Anthony)",,1
Mystic Sanctuary,"Orvar, the All-Form (Anthony)",,1
"Narset, Parter of Veils","Orvar, the All-Form (Anthony)",,1
Negate,"Orvar, the All-Form (Anthony)",,1
"Orvar, the All-Form","Orvar, the All-Form (Anthony)",,1
Peregrine Drake,"Orvar, the All-Form (Anthony)",,1
Pongify,"Orvar, the All-Form (Anthony)",,1
Quasiduplicate,"Orvar, the All-Form (Anthony)",,1
Ravenform,"Orvar, the All-Form (Anthony)",,1
Resculpt,"Orvar, the All-Form (Anthony)",,1
Scholar of the Ages,"Orvar, the All-Form (Anthony)",,1
Scourge of Fleets,"Orvar, the All-Form (Anthony)",,1
Sea Gate Oracle,"Orvar, the All-Form (Anthony)",,1
Shadow Rift,"Orvar, the All-Form (Anthony)",,1
Shimmering Mirage,"Orvar, the All-Form (Anthony)",,1
Shipwreck Dowser,"Orvar, the All-Form (Anthony)",,1
Sky Diamond,"Orvar, the All-Form (Anthony)",,1
Slip Through Space,"Orvar, the All-Form (Anthony)",,1
Sol Ring,"Orvar, the All-Form (Anthony)",,1
Solemn Simulacrum,"Orvar, the All-Form (Anthony)",,1
Stream of Unconsciousness,"Orvar, the All-Form (Anthony)",,1
Swiftfoot Boots,"Orvar, the All-Form (Anthony)",,1
"Talrand, Sky Summoner","Orvar, the All-Form (Anthony)",,1
Teferi's Ageless Insight,"Orvar, the All-Form (Anthony)",,1
Teferi's Time Twist,"Orvar, the All-Form (Anthony)",,1
Thought Vessel,"Orvar, the All-Form (Anthony)",,1
Tidespout Tyrant,"Orvar, the All-Form (Anthony)",,1
Trait Doctoring,"Orvar, the All-Form (Anthony)",,1
Twiddle,"Orvar, the All-Form (Anthony)",,1
Twisted Image,"Orvar, the All-Form (Anthony)",,1
Twitch,"Orvar, the All-Form (Anthony)",,1
Wavebreak Hippocamp,"Orvar, the All-Form (Anthony)",,1
Akroma's Will,Big Dinos (Anthony),Protection,1
Apex Altisaur,Big Dinos (Anthony),Removal,1
Arcane Signet,Big Dinos (Anthony),Ramp,1
Atzocan Seer,Big Dinos (Anthony),Ramp,1
Battlefield Forge,Big Dinos (Anthony),,1
Beast Within,Big Dinos (Anthony),Removal,1
Bellowing Aegisaur,Big Dinos (Anthony),Tribal,1
Berserkers' Onslaught,Big Dinos (Anthony),Combat,1
Blasphemous Act,Big Dinos (Anthony),Removal,1
Boros Charm,Big Dinos (Anthony),Protection,1
Brushland,Big Dinos (Anthony),,1
Burning Sun's Avatar,Big Dinos (Anthony),Removal,1
Canopy Vista,Big Dinos (Anthony),,1
Cinder Glade,Big Dinos (Anthony),,1
Colossal Majesty,Big Dinos (Anthony),Draw,1
Command Tower,Big Dinos (Anthony),,1
Deathgorge Scavenger,Big Dinos (Anthony),Value Engine,1
"Domri, Anarch of Bolas",Big Dinos (Anthony),Ramp,1
Elemental Bond,Big Dinos (Anthony),Draw,1
"Etali, Primal Storm",Big Dinos (Anthony),Finishers,1
Exotic Orchard,Big Dinos (Anthony),,1
Farewell,Big Dinos (Anthony),Removal,1
Farseek,Big Dinos (Anthony),Ramp,1
Forerunner of the Empire,Big Dinos (Anthony),Tribal,1
Forest,Big Dinos (Anthony),,8
Garruk's Uprising,Big Dinos (Anthony),Draw,1
Generous Gift,Big Dinos (Anthony),Removal,1
"Ghalta, Primal Hunger",Big Dinos (Anthony),Finishers,1
"Gishath, Sun's Avatar",Big Dinos (Anthony),Tribal,1
Goring Ceratops,Big Dinos (Anthony),Combat,1
Harmonize,Big Dinos (Anthony),Draw,1
Herald's Horn,Big Dinos (Anthony),Tribal,1
Jungle Shrine,Big Dinos (Anthony),,1
Karplusan Forest,Big Dinos (Anthony),,1
Kinjalli's Caller,Big Dinos (Anthony),Ramp,1
Kinjalli's Sunwing,Big Dinos (Anthony),Tribal,1
Knight of the Stampede,Big Dinos (Anthony),Ramp,1
Lifecrafter's Bestiary,Big Dinos (Anthony),Draw,1
Lightning Greaves,Big Dinos (Anthony),Protection,1
Majestic Heliopterus,Big Dinos (Anthony),Tribal,1
Marauding Raptor,Big Dinos (Anthony),Ramp,1
Mirari's Wake,Big Dinos (Anthony),Ramp,1
Mossfire Valley,Big Dinos (Anthony),,1
Mountain,Big Dinos (Anthony),,4
Nature's Lore,Big Dinos (Anthony),Ramp,1
Naya Charm,Big Dinos (Anthony),Support,1
Otepec Huntmaster,Big Dinos (Anthony),Ramp,1
Path of Ancestry,Big Dinos (Anthony),,1
Plains,Big Dinos (Anthony),,4
Quartzwood Crasher,Big Dinos (Anthony),Finishers,1
Raging Regisaur,Big Dinos (Anthony),Tribal,1
Raging Swordtooth,Big Dinos (Anthony),Tribal,1
Rampaging Brontodon,Big Dinos (Anthony),Finishers,1
Rampant Growth,Big Dinos (Anthony),Ramp,1
Ranging Raptors,Big Dinos (Anthony),Ramp,1
Regisaur Alpha,Big Dinos (Anthony),Tribal,1
Return of the Wildspeaker,Big Dinos (Anthony),Draw,1
Rhythm of the Wild,Big Dinos (Anthony),Support,1
Ripjaw Raptor,Big Dinos (Anthony),Draw,1
Rishkar's Expertise,Big Dinos (Anthony),Draw,1
Rockfall Vale,Big Dinos (Anthony),,1
Rugged Prairie,Big Dinos (Anthony),,1
Runic Armasaur,Big Dinos (Anthony),Draw,1
Secluded Courtyard,Big Dinos (Anthony),,1
Shifting Ceratops,Big Dinos (Anthony),Finishers,1
Silverclad Ferocidons,Big Dinos (Anthony),Finishers,1
Sol Ring,Big Dinos (Anthony),Ramp,1
Sungrass Prairie,Big Dinos (Anthony),,1
Swords to Plowshares,Big Dinos (Anthony),Removal,1
Temple Altisaur,Big Dinos (Anthony),Tribal,1
Temple of Abandon,Big Dinos (Anthony),,1
Temple of Plenty,Big Dinos (Anthony),,1
Temple of Triumph,Big Dinos (Anthony),,1
The Great Henge,Big Dinos (Anthony),Value Engine,1
Thrashing Brontodon,Big Dinos (Anthony),Support,1
Three Visits,Big Dinos (Anthony),Ramp,1
Thunderherd Migration,Big Dinos (Anthony),Ramp,1
Thundering Spineback,Big Dinos (Anthony),Tribal,1
Topiary Stomper,Big Dinos (Anthony),Ramp,1
Trapjaw Tyrant,Big Dinos (Anthony),Removal,1
Unclaimed Territory,Big Dinos (Anthony),,1
Verdant Sun's Avatar,Big Dinos (Anthony),Value Engine,1
Wakening Sun's Avatar,Big Dinos (Anthony),Removal,1
Warstorm Surge,Big Dinos (Anthony),Finishers,1
Wayward Swordtooth,Big Dinos (Anthony),Ramp,1
"Zacama, Primal Calamity",Big Dinos (Anthony),Finishers,1
"Zetalpa, Primal Dawn",Big Dinos (Anthony),Finishers,1
Access Tunnel,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Arcane Adaptation,Yuriko's Ninja Slugfest (Joe M),Support,1
Arcane Signet,Yuriko's Ninja Slugfest (Joe M),Ramp,1
Artificer's Assistant,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Azra Smokeshaper,Yuriko's Ninja Slugfest (Joe M),Protection,1
Baleful Strix,Yuriko's Ninja Slugfest (Joe M),Draw,1
Brainstorm,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Castle Vantress,Yuriko's Ninja Slugfest (Joe M),,1
Changeling Outcast,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Choked Estuary,Yuriko's Ninja Slugfest (Joe M),,1
Command Tower,Yuriko's Ninja Slugfest (Joe M),,1
Commit // Memory,Yuriko's Ninja Slugfest (Joe M),Disruption,1
Consign // Oblivion,Yuriko's Ninja Slugfest (Joe M),Disruption,1
Counterspell,Yuriko's Ninja Slugfest (Joe M),Removal,1
Cunning Evasion,Yuriko's Ninja Slugfest (Joe M),Protection,1
Darkwater Catacombs,Yuriko's Ninja Slugfest (Joe M),,1
Devastation Tide,Yuriko's Ninja Slugfest (Joe M),,1
Dig Through Time,Yuriko's Ninja Slugfest (Joe M),,1
Dimir Aqueduct,Yuriko's Ninja Slugfest (Joe M),,1
Dimir Infiltrator,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Dimir Signet,Yuriko's Ninja Slugfest (Joe M),Ramp,1
Discovery // Dispersal,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Distant Melody,Yuriko's Ninja Slugfest (Joe M),Draw,1
Dream Cache,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Faerie Seer,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Fallen Shinobi,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Familiar's Ruse,Yuriko's Ninja Slugfest (Joe M),Protection,1
Feed the Swarm,Yuriko's Ninja Slugfest (Joe M),Removal,1
Gingerbrute,Yuriko's Ninja Slugfest (Joe M),Enabler,1
"Grazilaxx, Illithid Scholar",Yuriko's Ninja Slugfest (Joe M),Draw,1
Gudul Lurker,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Hagra Mauling // Hagra Broodpit,Yuriko's Ninja Slugfest (Joe M),Removal,1
Halimar Depths,Yuriko's Ninja Slugfest (Joe M),,1
In Garruk's Wake,Yuriko's Ninja Slugfest (Joe M),Removal,1
Infernal Grasp,Yuriko's Ninja Slugfest (Joe M),Removal,1
Ingenious Infiltrator,Yuriko's Ninja Slugfest (Joe M),Draw,1
Island,Yuriko's Ninja Slugfest (Joe M),,11
Jwar Isle Refuge,Yuriko's Ninja Slugfest (Joe M),,1
Karn's Temporal Sundering,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Krydle of Baldur's Gate,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Maskwood Nexus,Yuriko's Ninja Slugfest (Joe M),Support,1
Mind Stone,Yuriko's Ninja Slugfest (Joe M),Ramp,1
Misdirection,Yuriko's Ninja Slugfest (Joe M),Protection,1
Mistblade Shinobi,Yuriko's Ninja Slugfest (Joe M),Disruption,1
Mist-Cloaked Herald,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Mist-Syndicate Naga,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Moonblade Shinobi,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Mortuary Mire,Yuriko's Ninja Slugfest (Joe M),,1
Murderous Cut,Yuriko's Ninja Slugfest (Joe M),Removal,1
Mystic Sanctuary,Yuriko's Ninja Slugfest (Joe M),,1
Negate,Yuriko's Ninja Slugfest (Joe M),Removal,1
Never // Return,Yuriko's Ninja Slugfest (Joe M),Removal,1
Ninja of the Deep Hours,Yuriko's Ninja Slugfest (Joe M),Draw,1
Okiba-Gang Shinobi,Yuriko's Ninja Slugfest (Joe M),Disruption,1
Ornithopter,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Otherworldly Gaze,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Path of Ancestry,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Phantom Ninja,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Ponder,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
Reconnaissance Mission,Yuriko's Ninja Slugfest (Joe M),Draw,1
Rogue's Passage,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Sage Owl,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Silent-Blade Oni,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Silver Raven,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Siren Stormtamer,Yuriko's Ninja Slugfest (Joe M),Protection,1
Skullsnatcher,Yuriko's Ninja Slugfest (Joe M),Disruption,1
Slither Blade,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Smoke Shroud,Yuriko's Ninja Slugfest (Joe M),Support,1
Sol Ring,Yuriko's Ninja Slugfest (Joe M),Ramp,1
Stolen Identity,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Submerged Boneyard,Yuriko's Ninja Slugfest (Joe M),,1
Sunken Hollow,Yuriko's Ninja Slugfest (Joe M),,1
Swamp,Yuriko's Ninja Slugfest (Joe M),,5
Swiftfoot Boots,Yuriko's Ninja Slugfest (Joe M),Protection,1
Tainted Isle,Yuriko's Ninja Slugfest (Joe M),,1
Talisman of Dominance,Yuriko's Ninja Slugfest (Joe M),Ramp,1
Temple of Deceit,Yuriko's Ninja Slugfest (Joe M),Topdeck,1
"Tetsuko Umezawa, Fugitive",Yuriko's Ninja Slugfest (Joe M),Enabler,1
Throatseeker,Yuriko's Ninja Slugfest (Joe M),Support,1
Tormented Soul,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Treasure Cruise,Yuriko's Ninja Slugfest (Joe M),Draw,1
Triton Shorestalker,Yuriko's Ninja Slugfest (Joe M),Enabler,1
Vela the Night-Clad,Yuriko's Ninja Slugfest (Joe M),Finishers,1
Walker of Secret Ways,Yuriko's Ninja Slugfest (Joe M),Support,1
Xenograft,Yuriko's Ninja Slugfest (Joe M),Support,1
"Yuriko, the Tiger's Shadow",Yuriko's Ninja Slugfest (Joe M),Finishers,1
"Ajani, the Greathearted",Cats and Dogs (Joe M),Support,1
Ajani's Pridemate,Cats and Dogs (Joe M),Payoff,1
Animal Sanctuary,Cats and Dogs (Joe M),Tribal,1
Arcane Signet,Cats and Dogs (Joe M),Ramp,1
Ash Barrens,Cats and Dogs (Joe M),,1
Austere Command,Cats and Dogs (Joe M),Removal,1
Beast Within,Cats and Dogs (Joe M),Removal,1
Blasphemous Act,Cats and Dogs (Joe M),Removal,1
Bolt Hound,Cats and Dogs (Joe M),Payoff,1
Boros Charm,Cats and Dogs (Joe M),Protection,1
Boros Garrison,Cats and Dogs (Joe M),,1
Boros Signet,Cats and Dogs (Joe M),Ramp,1
Bronzehide Lion,Cats and Dogs (Joe M),Protection,1
Camaraderie,Cats and Dogs (Joe M),Draw,1
Canopy Vista,Cats and Dogs (Joe M),,1
Cinder Glade,Cats and Dogs (Joe M),,1
Command Tower,Cats and Dogs (Joe M),,1
Crib Swap,Cats and Dogs (Joe M),Removal,1
Cubwarden,Cats and Dogs (Joe M),Token,1
Cultivate,Cats and Dogs (Joe M),Ramp,1
End-Raze Forerunners,Cats and Dogs (Joe M),Finishers,1
Evolving Wilds,Cats and Dogs (Joe M),,1
Exotic Orchard,Cats and Dogs (Joe M),,1
Farseek,Cats and Dogs (Joe M),Ramp,1
Felidar Retreat,Cats and Dogs (Joe M),Token,1
Feline Sovereign,Cats and Dogs (Joe M),Tribal,1
Forest,Cats and Dogs (Joe M),,7
Fortified Village,Cats and Dogs (Joe M),,1
Furycalm Snarl,Cats and Dogs (Joe M),,1
Gavony Township,Cats and Dogs (Joe M),Payoff,1
Gruul Signet,Cats and Dogs (Joe M),Ramp,1
Harmonize,Cats and Dogs (Joe M),Draw,1
Healer of the Pride,Cats and Dogs (Joe M),Payoff,1
Hungry Lynx,Cats and Dogs (Joe M),Token,1
Impact Tremors,Cats and Dogs (Joe M),Finishers,1
Impostor of the Sixth Pride,Cats and Dogs (Joe M),Tribal,1
Jazal Goldmane,Cats and Dogs (Joe M),Finishers,1
Jedit Ojanen of Efrava,Cats and Dogs (Joe M),Support,1
Jungle Shrine,Cats and Dogs (Joe M),,1
"Kaheera, the Orphanguard",Cats and Dogs (Joe M),Tribal,1
Keeper of Fables,Cats and Dogs (Joe M),Draw,1
King of the Pride,Cats and Dogs (Joe M),Tribal,1
Kodama's Reach,Cats and Dogs (Joe M),Ramp,1
Leonin Warleader,Cats and Dogs (Joe M),Token,1
Loam Lion,Cats and Dogs (Joe M),,1
Loyal Warhound,Cats and Dogs (Joe M),Ramp,1
"Marisi, Breaker of the Coil",Cats and Dogs (Joe M),Support,1
Masked Vandal,Cats and Dogs (Joe M),Removal,1
Maskwood Nexus,Cats and Dogs (Joe M),Support,1
Migration Path,Cats and Dogs (Joe M),Ramp,1
Mirror Entity,Cats and Dogs (Joe M),Finishers,1
Mossfire Valley,Cats and Dogs (Joe M),,1
Mountain,Cats and Dogs (Joe M),,1
Pack Leader,Cats and Dogs (Joe M),Tribal,1
Path of Ancestry,Cats and Dogs (Joe M),Tribal,1
Plains,Cats and Dogs (Joe M),,8
Pledge of Unity,Cats and Dogs (Joe M),Support,1
Prava of the Steel Legion,Cats and Dogs (Joe M),Token,1
Pride Sovereign,Cats and Dogs (Joe M),Token,1
Pridemalkin,Cats and Dogs (Joe M),Support,1
Qasali Pridemage,Cats and Dogs (Joe M),Removal,1
Qasali Slingers,Cats and Dogs (Joe M),Removal,1
Rampant Growth,Cats and Dogs (Joe M),Ramp,1
Regal Caracal,Cats and Dogs (Joe M),Token,1
Return of the Wildspeaker,Cats and Dogs (Joe M),Draw,1
"Rin and Seri, Inseparable",Cats and Dogs (Joe M),Token,1
Second Harvest,Cats and Dogs (Joe M),Token,1
Selesnya Sanctuary,Cats and Dogs (Joe M),,1
Selesnya Signet,Cats and Dogs (Joe M),Ramp,1
Selfless Savior,Cats and Dogs (Joe M),Protection,1
Shamanic Revelation,Cats and Dogs (Joe M),Draw,1
Shared Animosity,Cats and Dogs (Joe M),Payoff,1
Shields of Velis Vel,Cats and Dogs (Joe M),Tribal,1
Sol Ring,Cats and Dogs (Joe M),Ramp,1
Sungrass Prairie,Cats and Dogs (Joe M),,1
Swords to Plowshares,Cats and Dogs (Joe M),Removal,1
Taurean Mauler,Cats and Dogs (Joe M),Tribal,1
Temple of Plenty,Cats and Dogs (Joe M),,1
Temple of Triumph,Cats and Dogs (Joe M),,1
Temur Sabertooth,Cats and Dogs (Joe M),Protection,1
Terramorphic Expanse,Cats and Dogs (Joe M),,1
Thrill of Possibility,Cats and Dogs (Joe M),Draw,1
Titanic Ultimatum,Cats and Dogs (Joe M),Finishers,1
Trusty Retriever,Cats and Dogs (Joe M),Support,1
Unclaimed Territory,Cats and Dogs (Joe M),,1
Universal Automaton,Cats and Dogs (Joe M),Tribal,1
Whitemane Lion,Cats and Dogs (Joe M),Protection,1
